decade,word,tf,occurrences
0-50,schiferli,0.14285714285714285,[18852]
0-50,rudolphu,0.14285714285714285,[18852]
0-50,king,0.14285714285714285,[19065]
0-50,unit,0.14285714285714285,[27125]
0-50,stateaut,0.14285714285714285,[27125]
0-50,webster,0.14285714285714285,[49194]
0-50,kellogg,0.14285714285714285,[78695]
1450-1500,lambertu,0.016666666666666666,[14294]
1450-1500,de,0.08333333333333333,"[14294, 22304, 28272, 79968]"
1450-1500,mont,0.016666666666666666,[14294]
1450-1500,domini,0.016666666666666666,[14294]
1450-1500,jenson,0.016666666666666666,[17531]
1450-1500,nicola,0.016666666666666666,[17531]
1450-1500,approxim,0.016666666666666666,[17531]
1450-1500,printer,0.03333333333333333,"[17531, 88679]"
1450-1500,beata,0.016666666666666666,[22304]
1450-1500,maria,0.016666666666666666,[22304]
1450-1500,virgini,0.016666666666666666,[22304]
1450-1500,mari,0.016666666666666666,[22304]
1450-1500,stella,0.016666666666666666,[22304]
1450-1500,et,0.016666666666666666,[22304]
1450-1500,augia,0.016666666666666666,[22304]
1450-1500,major,0.016666666666666666,[22304]
1450-1500,cistercian,0.016666666666666666,[22304]
1450-1500,abbey,0.016666666666666666,[22304]
1450-1500,wettingen,0.016666666666666666,[22304]
1450-1500,switzerland,0.016666666666666666,[22304]
1450-1500,former,0.08333333333333333,"[22304, 28272, 64454, 68415, 75908]"
1450-1500,pari,0.016666666666666666,[28272]
1450-1500,petru,0.016666666666666666,[38898]
1450-1500,treciu,0.016666666666666666,[38898]
1450-1500,hrsg,0.016666666666666666,[38898]
1450-1500,signet,0.05,"[47180, 64454, 68415]"
1450-1500,librari,0.06666666666666667,"[47180, 49671, 64454, 68415]"
1450-1500,great,0.05,"[47180, 64454, 68415]"
1450-1500,britain,0.05,"[47180, 64454, 68415]"
1450-1500,faculti,0.016666666666666666,[47181]
1450-1500,advoc,0.016666666666666666,[47181]
1450-1500,scotland,0.016666666666666666,[47181]
1450-1500,edinburgh,0.016666666666666666,[49671]
1450-1500,citi,0.016666666666666666,[49671]
1450-1500,denholm,0.016666666666666666,[75908]
1450-1500,jame,0.016666666666666666,[75908]
1450-1500,stewart,0.016666666666666666,[75908]
1450-1500,valescu,0.016666666666666666,[79968]
1450-1500,taranta,0.016666666666666666,[79968]
1450-1500,andrea,0.016666666666666666,[86616]
1450-1500,barbatiu,0.016666666666666666,[86616]
1450-1500,amerbach,0.016666666666666666,[88679]
1500-1550,sylviu,0.004081632653061225,[978]
1500-1550,dominicu,0.004081632653061225,[978]
1500-1550,buchanano,0.004081632653061225,[13802]
1500-1550,georgio,0.004081632653061225,[13802]
1500-1550,scoto,0.004081632653061225,[13802]
1500-1550,linck,0.004081632653061225,[13803]
1500-1550,wenceslau,0.004081632653061225,[13803]
1500-1550,luther,0.02857142857142857,"[13807, 14289, 23572, 66271, 79978, 86511, 90971]"
1500-1550,salviati,0.004081632653061225,[13813]
1500-1550,lionardo,0.004081632653061225,[13813]
1500-1550,tasso,0.004081632653061225,[13817]
1500-1550,bernardo,0.004081632653061225,[13817]
1500-1550,lucian,0.004081632653061225,[14245]
1500-1550,samosata,0.004081632653061225,[14245]
1500-1550,cybeleiu,0.004081632653061225,[14271]
1500-1550,valentinu,0.004081632653061225,[14271]
1500-1550,scholl,0.004081632653061225,[14272]
1500-1550,jacob,0.004081632653061225,[14272]
1500-1550,bernardu,0.004081632653061225,[14298]
1500-1550,de,0.024489795918367346,"[14298, 56531, 67484, 76653, 85431, 86617]"
1500-1550,lutzenburgo,0.004081632653061225,[14298]
1500-1550,alesiu,0.004081632653061225,[18938]
1500-1550,richer,0.004081632653061225,[18947]
1500-1550,christoph,0.004081632653061225,[18947]
1500-1550,roscou,0.004081632653061225,[18950]
1500-1550,former,0.0326530612244898,"[18950, 23054, 23055, 29840, 36638, 53634, 66272, 86722]"
1500-1550,bonfini,0.004081632653061225,[19387]
1500-1550,john,0.0163265306122449,"[21139, 29840, 66268, 70502]"
1500-1550,chrysostom,0.004081632653061225,[21139]
1500-1550,saint,0.00816326530612245,"[21139, 91563]"
1500-1550,pauliii,0.004081632653061225,[21566]
1500-1550,oppavianu,0.004081632653061225,[22574]
1500-1550,franciscu,0.00816326530612245,"[22574, 56252]"
1500-1550,emericu,0.004081632653061225,[22574]
1500-1550,hutten,0.02040816326530612,"[22650, 22651, 66267, 78539, 88177]"
1500-1550,ulrich,0.02040816326530612,"[22650, 22651, 66267, 78539, 88177]"
1500-1550,von,0.02857142857142857,"[22650, 22651, 56255, 66267, 71852, 78539, 88177]"
1500-1550,bibliand,0.004081632653061225,[22652]
1500-1550,theodor,0.004081632653061225,[22652]
1500-1550,ringmann,0.004081632653061225,[22663]
1500-1550,matthia,0.004081632653061225,[22663]
1500-1550,hrsg,0.02040816326530612,"[22663, 38902, 78534, 88174, 90977]"
1500-1550,murner,0.004081632653061225,[22665]
1500-1550,thoma,0.00816326530612245,"[22665, 36638]"
1500-1550,dick,0.00816326530612245,"[22666, 90975]"
1500-1550,leopold,0.00816326530612245,"[22666, 90975]"
1500-1550,karl,0.004081632653061225,[22669]
1500-1550,reich,0.004081632653061225,[22669]
1500-1550,kaiser,0.004081632653061225,[22669]
1500-1550,v,0.00816326530612245,"[22669, 73422]"
1500-1550,gessler,0.004081632653061225,[22676]
1500-1550,johann,0.02040816326530612,"[22676, 38909, 85431, 86617, 88187]"
1500-1550,geraldinu,0.004081632653061225,[22677]
1500-1550,antoniu,0.004081632653061225,[22677]
1500-1550,gariopontu,0.004081632653061225,[22679]
1500-1550,monteux,0.004081632653061225,[22682]
1500-1550,komment,0.004081632653061225,[22682]
1500-1550,damiano,0.004081632653061225,[22956]
1500-1550,da,0.004081632653061225,[22956]
1500-1550,odenara,0.004081632653061225,[22956]
1500-1550,hildebran,0.004081632653061225,[23054]
1500-1550,institut,0.004081632653061225,[23054]
1500-1550,balfour,0.004081632653061225,[23055]
