decade,word,tf,occurrences
0-50,medicin,1.0,[18852]
850-900,religion,0.5,[13508]
850-900,polit,0.5,[13508]
1450-1500,medicin,0.06666666666666667,[17531]
1450-1500,arab,0.06666666666666667,[17531]
1450-1500,medit,0.06666666666666667,[22304]
1450-1500,canon,0.13333333333333333,"[47180, 47181]"
1450-1500,law,0.13333333333333333,"[47180, 47181]"
1450-1500,conduct,0.06666666666666667,[49671]
1450-1500,life,0.06666666666666667,[49671]
1450-1500,latin,0.06666666666666667,[64454]
1450-1500,languag,0.06666666666666667,[64454]
1450-1500,sacrament,0.06666666666666667,[68415]
1450-1500,philosophi,0.06666666666666667,[75908]
1450-1500,ancient,0.06666666666666667,[75908]
1450-1500,human,0.06666666666666667,[88679]
1500-1550,greek,0.029411764705882353,[978]
1500-1550,languag,0.08823529411764706,"[978, 53634, 56531]"
1500-1550,rhetor,0.029411764705882353,[19387]
1500-1550,ancient,0.029411764705882353,[19387]
1500-1550,bibl,0.058823529411764705,"[21139, 91563]"
1500-1550,spice,0.029411764705882353,[21566]
1500-1550,trade,0.029411764705882353,[21566]
1500-1550,chess,0.029411764705882353,[22956]
1500-1550,roman,0.058823529411764705,"[35535, 56253]"
1500-1550,law,0.029411764705882353,[35535]
1500-1550,latin,0.029411764705882353,[53634]
1500-1550,emperor,0.029411764705882353,[56253]
1500-1550,jesu,0.029411764705882353,[56255]
1500-1550,christ,0.029411764705882353,[56255]
1500-1550,tupi,0.029411764705882353,[56531]
1500-1550,sorrow,0.029411764705882353,[59712]
1500-1550,bless,0.029411764705882353,[59712]
1500-1550,virgin,0.029411764705882353,[59712]
1500-1550,mari,0.029411764705882353,[59712]
1500-1550,devot,0.029411764705882353,[59712]
1500-1550,taxat,0.029411764705882353,[73422]
1500-1550,aristotl,0.029411764705882353,[76653]
1500-1550,head,0.029411764705882353,[76917]
1500-1550,art,0.029411764705882353,[76917]
1500-1550,cathol,0.029411764705882353,[77562]
1500-1550,church,0.029411764705882353,[77562]
1500-1550,vener,0.029411764705882353,[83191]
1500-1550,diseas,0.029411764705882353,[83191]
1500-1550,italian,0.029411764705882353,[91441]
1500-1550,poetri,0.029411764705882353,[91441]
1550-1600,porphyri,0.010638297872340425,[531]
1550-1600,approxim,0.010638297872340425,[531]
1550-1600,classic,0.02127659574468085,"[1164, 86699]"
1550-1600,literatur,0.010638297872340425,[1164]
1550-1600,proverb,0.010638297872340425,[4269]
1550-1600,lord,0.010638297872340425,[4450]
1550-1600,supper,0.010638297872340425,[4450]
1550-1600,save,0.010638297872340425,[8648]
1550-1600,invest,0.010638297872340425,[8648]
1550-1600,charl,0.010638297872340425,[13800]
1550-1600,v,0.010638297872340425,[13800]
1550-1600,holi,0.010638297872340425,[13800]
1550-1600,roman,0.06382978723404255,"[13800, 14450, 33662, 35547, 44361, 91375]"
1550-1600,emperor,0.010638297872340425,[13800]
1550-1600,inherit,0.010638297872340425,[14450]
1550-1600,success,0.010638297872340425,[14450]
1550-1600,law,0.06382978723404255,"[14450, 33662, 35547, 82172, 85516, 91375]"
1550-1600,religi,0.031914893617021274,"[14899, 53633, 68541]"
1550-1600,disput,0.010638297872340425,[14899]
1550-1600,latin,0.02127659574468085,"[15478, 28759]"
1550-1600,letter,0.010638297872340425,[15478]
1550-1600,absinth,0.010638297872340425,[18945]
1550-1600,postal,0.010638297872340425,[19375]
1550-1600,servic,0.010638297872340425,[19375]
1550-1600,pawnbrok,0.010638297872340425,[19389]
1550-1600,edinburgh,0.02127659574468085,[23754]
1550-1600,castl,0.010638297872340425,[23754]
1550-1600,scotland,0.010638297872340425,[23754]
1550-1600,poetri,0.010638297872340425,[28759]
1550-1600,franciscan,0.010638297872340425,[31390]
1550-1600,discoveri,0.010638297872340425,[34840]
1550-1600,geographi,0.010638297872340425,[34840]
1550-1600,bibl,0.02127659574468085,"[38340, 68298]"
1550-1600,immort,0.010638297872340425,[41949]
1550-1600,medicin,0.010638297872340425,[44361]
1550-1600,greek,0.010638297872340425,[44361]
1550-1600,sermon,0.010638297872340425,[45723]
1550-1600,english,0.010638297872340425,[45723]
1550-1600,middl,0.010638297872340425,[45723]
1550-1600,theolog,0.010638297872340425,[47714]
1550-1600,indian,0.010638297872340425,[53106]
1550-1600,monastic,0.02127659574468085,"[53633, 68541]"
1550-1600,order,0.02127659574468085,"[53633, 68541]"
1550-1600,incest,0.010638297872340425,[53642]
1550-1600,salt,0.010638297872340425,[53645]
1550-1600,industri,0.010638297872340425,[53645]
1550-1600,trade,0.010638297872340425,[53645]
1550-1600,duchi,0.010638297872340425,[53668]
1550-1600,prison,0.010638297872340425,[59865]
1550-1600,indulg,0.010638297872340425,[59884]
1550-1600,hospital,0.010638297872340425,[59896]
1550-1600,adulteri,0.010638297872340425,[60803]
1550-1600,mari,0.010638297872340425,[66236]
1550-1600,bless,0.010638297872340425,[66236]
1550-1600,virgin,0.010638297872340425,[66236]
1550-1600,saint,0.010638297872340425,[66236]
1550-1600,william,0.010638297872340425,[66265]
1550-1600,princ,0.010638297872340425,[66265]
1550-1600,orang,0.010638297872340425,[66265]
1550-1600,comedi,0.010638297872340425,[67625]
1550-1600,justif,0.010638297872340425,[69689]
1550-1600,justic,0.010638297872340425,[72601]
1550-1600,administr,0.010638297872340425,[72601]
1550-1600,hippocr,0.010638297872340425,[77195]
1550-1600,gladiat,0.010638297872340425,[77196]
1550-1600,church,0.010638297872340425,[77561]
1550-1600,histori,0.010638297872340425,[77561]
1550-1600,primogenitur,0.010638297872340425,[78388]
1550-1600,canon,0.010638297872340425,[85516]
1550-1600,calvin,0.010638297872340425,[85546]
1550-1600,botani,0.010638297872340425,[86513]
1550-1600,biographi,0.010638297872340425,[86699]
1550-1600,civil,0.010638297872340425,[90333]
1550-1600,procedur,0.010638297872340425,[90333]
1550-1600,apologet,0.010638297872340425,[91038]
1550-1600,firearm,0.010638297872340425,[92192]
1600-1650,jena,0.02132701421800948,"[75, 20099, 36814, 51762, 67286, 70996, 79196, 84895, 87535]"
1600-1650,great,0.004739336492890996,"[892, 50333]"
1600-1650,britain,0.004739336492890996,"[892, 50333]"
1600-1650,cathol,0.016587677725118485,"[1697, 4448, 47499, 70975, 72861, 73474, 73752]"
1600-1650,church,0.04265402843601896,"[1697, 2954, 3080, 4448, 34984, 35553, 41930, 48567, 50343, 64920, 64926, 65638, 69822, 72861, 73474, 73752, 89792, 90088]"
1600-1650,save,0.023696682464454975,"[1836, 26470, 30607, 33167, 35587, 35606, 59916, 61032, 68527, 81358]"
1600-1650,invest,0.023696682464454975,"[1836, 26470, 30607, 33167, 35587, 35606, 59916, 61032, 68527, 81358]"
1600-1650,theolog,0.004739336492890996,"[2538, 51230]"
1600-1650,doctrin,0.004739336492890996,"[2538, 51230]"
1600-1650,scotland,0.011848341232227487,"[2954, 11638, 34984, 41948, 50343]"
1600-1650,build,0.002369668246445498,[3080]
1600-1650,roman,0.011848341232227487,"[3446, 4449, 15665, 83654, 86082]"
1600-1650,law,0.035545023696682464,"[3446, 5935, 9561, 15665, 21866, 36803, 37436, 45719, 50779, 52382, 52667, 66222, 83654, 86082, 89728]"
1600-1650,soap,0.002369668246445498,[3887]
1600-1650,trade,0.0071090047393364926,"[3887, 31198, 68040]"
1600-1650,fountain,0.002369668246445498,[3903]
1600-1650,tax,0.002369668246445498,[3919]
1600-1650,farm,0.002369668246445498,[3919]
1600-1650,fairfax,0.004739336492890996,[4409]
1600-1650,thoma,0.0071090047393364926,"[4409, 57030, 58861]"
1600-1650,baron,0.002369668246445498,[4409]
1600-1650,essex,0.002369668246445498,[4410]
1600-1650,robert,0.002369668246445498,[4410]
1600-1650,devereux,0.002369668246445498,[4410]
1600-1650,earl,0.0071090047393364926,"[4410, 57030, 58861]"
1600-1650,taxat,0.009478672985781991,"[4415, 31401, 39698, 86106]"
1600-1650,england,0.052132701421800945,"[4416, 4427, 4440, 31963, 35553, 40938, 41920, 41937, 43268, 44742, 53483, 54639, 64910, 64920, 65631, 65636, 65638, 68450, 69887, 76984, 82665, 90095]"
1600-1650,wale,0.023696682464454975,"[4416, 31963, 40938, 41920, 53483, 64910, 68450, 69887, 76984, 82665]"
1600-1650,parliament,0.02132701421800948,"[4416, 31963, 40938, 41920, 64910, 68450, 69887, 76984, 82665]"
1600-1650,charl,0.016587677725118485,"[4427, 41937, 53483, 54639, 65631, 65636, 90095]"
1600-1650,king,0.02132701421800948,"[4427, 27447, 41937, 41948, 43268, 54639, 65631, 65636, 90095]"
1600-1650,trial,0.002369668246445498,[4431]
1600-1650,treason,0.002369668246445498,[4431]
1600-1650,polit,0.004739336492890996,"[4433, 61661]"
1600-1650,satir,0.004739336492890996,"[4433, 71045]"
1600-1650,english,0.018957345971563982,"[4433, 18693, 25001, 32131, 41894, 64904, 71045, 79171]"
1600-1650,prerog,0.0071090047393364926,"[4437, 44837, 60040]"
1600-1650,royal,0.0071090047393364926,"[4437, 44837, 60040]"
1600-1650,london,0.009478672985781991,"[4440, 44742, 64920, 80019]"
1600-1650,emperor,0.002369668246445498,[4449]
1600-1650,prison,0.002369668246445498,[4455]
1600-1650,war,0.004739336492890996,"[4455, 34993]"
1600-1650,puritan,0.002369668246445498,[4923]
1600-1650,prescript,0.002369668246445498,[5935]
1600-1650,bibl,0.004739336492890996,"[8333, 41922]"
1600-1650,sword,0.002369668246445498,[8369]
1600-1650,philosophi,0.002369668246445498,[8578]
1600-1650,grain,0.002369668246445498,[8637]
1600-1650,latin,0.002369668246445498,[8638]
1600-1650,languag,0.004739336492890996,"[8638, 16131]"
1600-1650,leipzig,0.004739336492890996,"[8763, 55802]"
1600-1650,basel,0.002369668246445498,[8764]
1600-1650,armi,0.002369668246445498,[11638]
1600-1650,sabbath,0.002369668246445498,[11790]
1600-1650,presbyterian,0.004739336492890996,"[12424, 64905]"
1600-1650,infant,0.002369668246445498,[12430]
1600-1650,baptism,0.002369668246445498,[12430]
1600-1650,concept,0.002369668246445498,[14228]
1600-1650,plead,0.002369668246445498,[14488]
1600-1650,jesuit,0.002369668246445498,[14649]
1600-1650,vane,0.002369668246445498,[14654]
1600-1650,henri,0.002369668246445498,[14654]
1600-1650,sir,0.0071090047393364926,"[14654, 37803, 76974]"
1600-1650,plagu,0.004739336492890996,"[15261, 49710]"
1600-1650,jurisdict,0.002369668246445498,[15665]
1600-1650,trigonometri,0.002369668246445498,[16040]
1600-1650,spanish,0.002369668246445498,[16131]
1600-1650,antinomian,0.002369668246445498,[16722]
1600-1650,incarn,0.002369668246445498,[17184]
1600-1650,jesu,0.002369668246445498,[17210]
1600-1650,christ,0.002369668246445498,[17210]
1600-1650,sermon,0.018957345971563982,"[18693, 25001, 32131, 41894, 45706, 64904, 65634, 79171]"
1600-1650,gunpowd,0.002369668246445498,[19228]
1600-1650,plot,0.002369668246445498,[19228]
1600-1650,firearm,0.002369668246445498,[19399]
1600-1650,indulg,0.002369668246445498,[20120]
1600-1650,italian,0.002369668246445498,[20336]
1600-1650,literatur,0.0071090047393364926,"[20336, 62692, 64917]"
1600-1650,debtor,0.0071090047393364926,"[21526, 26476, 69120]"
1600-1650,creditor,0.0071090047393364926,"[21526, 26476, 69120]"
1600-1650,lotteri,0.002369668246445498,[21575]
1600-1650,charact,0.002369668246445498,[22959]
1600-1650,characterist,0.002369668246445498,[22959]
1600-1650,gynecolog,0.002369668246445498,[24342]
1600-1650,altdorf,0.0071090047393364926,"[24651, 43293, 87533]"
1600-1650,oath,0.002369668246445498,[25347]
1600-1650,preciou,0.002369668246445498,[26907]
1600-1650,metal,0.002369668246445498,[26907]
1600-1650,divin,0.002369668246445498,[27447]
1600-1650,right,0.002369668246445498,[27447]
1600-1650,iron,0.002369668246445498,[31198]
1600-1650,industri,0.002369668246445498,[31198]
1600-1650,apprentic,0.002369668246445498,[31969]
1600-1650,religion,0.002369668246445498,[34993]
1600-1650,huguenot,0.002369668246445498,[35002]
1600-1650,franc,0.002369668246445498,[35002]
1600-1650,justic,0.004739336492890996,"[35590, 79409]"
1600-1650,administr,0.004739336492890996,"[35590, 79409]"
1600-1650,authent,0.002369668246445498,[35605]
1600-1650,fast,0.002369668246445498,[36855]
1600-1650,feast,0.002369668246445498,[36855]
1600-1650,absolut,0.002369668246445498,[37436]
1600-1650,canon,0.002369668246445498,[37436]
1600-1650,tith,0.002369668246445498,[37764]
1600-1650,jubb,0.002369668246445498,[37801]
1600-1650,john,0.004739336492890996,"[37801, 76974]"
1600-1650,roger,0.002369668246445498,[37803]
1600-1650,baerl,0.002369668246445498,[37952]
1600-1650,susanna,0.002369668246445498,[37952]
1600-1650,van,0.002369668246445498,[37952]
1600-1650,death,0.002369668246445498,[38408]
1600-1650,spring,0.002369668246445498,[39425]
1600-1650,ingolstadt,0.002369668246445498,[39651]
1600-1650,water,0.002369668246445498,[39708]
1600-1650,consumpt,0.002369668246445498,[39708]
1600-1650,contract,0.002369668246445498,[40064]
1600-1650,christian,0.009478672985781991,"[40468, 41936, 43486, 62692]"
1600-1650,life,0.0071090047393364926,"[40468, 41936, 43486]"
1600-1650,hous,0.004739336492890996,"[40938, 64910]"
1600-1650,lord,0.002369668246445498,[40938]
1600-1650,daniel,0.002369668246445498,[41895]
1600-1650,intellectu,0.002369668246445498,[41919]
1600-1650,freedom,0.002369668246445498,[41919]
1600-1650,state,0.011848341232227487,"[41930, 64926, 69822, 89792, 90088]"
1600-1650,astrolog,0.002369668246445498,[41947]
1600-1650,jame,0.002369668246445498,[41948]
1600-1650,vi,0.004739336492890996,"[41948, 43268]"
1600-1650,postur,0.002369668246445498,[41950]
1600-1650,worship,0.002369668246445498,[41950]
1600-1650,rostock,0.002369668246445498,[43033]
1600-1650,edward,0.002369668246445498,[43268]
1600-1650,musaeum,0.002369668246445498,[44742]
1600-1650,minerva,0.002369668246445498,[44742]
1600-1650,royalist,0.002369668246445498,[45710]
1600-1650,battl,0.002369668246445498,[45721]
1600-1650,order,0.0071090047393364926,"[45722, 51551, 65519]"
1600-1650,garter,0.002369668246445498,[45722]
1600-1650,emblem,0.002369668246445498,[45724]
1600-1650,music,0.002369668246445498,[45751]
1600-1650,politi,0.002369668246445498,[48567]
1600-1650,dissent,0.002369668246445498,[50345]
1600-1650,religi,0.009478672985781991,"[50345, 51551, 65519, 71045]"
1600-1650,pope,0.002369668246445498,[51229]
1600-1650,monastic,0.004739336492890996,"[51551, 65519]"
1600-1650,report,0.002369668246445498,[52382]
1600-1650,digest,0.002369668246445498,[52382]
1600-1650,etc,0.002369668246445498,[52382]
1600-1650,militari,0.002369668246445498,[52667]
1600-1650,sovereign,0.002369668246445498,[53483]
1600-1650,council,0.004739336492890996,"[56534, 80019]"
1600-1650,synod,0.002369668246445498,[56534]
1600-1650,strafford,0.004739336492890996,"[57030, 58861]"
1600-1650,wentworth,0.004739336492890996,"[57030, 58861]"
1600-1650,weight,0.004739336492890996,"[58095, 68510]"
1600-1650,measur,0.004739336492890996,"[58095, 68510]"
1600-1650,legal,0.002369668246445498,[58452]
1600-1650,document,0.002369668246445498,[58452]
1600-1650,canal,0.002369668246445498,[58507]
1600-1650,will,0.002369668246445498,[59992]
1600-1650,inquisit,0.002369668246445498,[60750]
1600-1650,inspir,0.002369668246445498,[61520]
1600-1650,funer,0.004739336492890996,"[62024, 82844]"
1600-1650,rite,0.004739336492890996,"[62024, 82844]"
1600-1650,ceremoni,0.004739336492890996,"[62024, 82844]"
1600-1650,earli,0.002369668246445498,[62692]
1600-1650,selim,0.002369668246445498,[62977]
1600-1650,sultan,0.002369668246445498,[62977]
1600-1650,turk,0.002369668246445498,[62977]
1600-1650,univers,0.004739336492890996,"[64903, 70975]"
1600-1650,cambridg,0.002369668246445498,[64903]
1600-1650,common,0.004739336492890996,"[64910, 80019]"
1600-1650,devot,0.002369668246445498,[64917]
