author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls,og_dates
A. A. Milne,"['Milne, A. A.(Alan Alexander),1882-1956.']","""['The Red House mystery']""",[1977.0],['Bath Lythway Press'],['eng'],['English fiction.'],"['Originally published: London : Methuen, 1922']",1977.0,1977.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfsg3FQD7iTbBTccTiZ_6wq-etgx-ST-SOHx9uAN4X5UhfmSl14w9yd21nCw&s'],
A. Alvarez,"['Alvarez, A.(Alfred),1929-']","""['Hers']""",[1977.0],['Harmondsworth Penguin'],['eng'],['English fiction.'],"['Originally published: London : Weidenfeld and Nicolson, 1974']",1977.0,1977.0,1,['//www.gstatic.com/search_trustx/visibility_off_icon_p600-fc0fcd3cc6b30b7d85289bc9f0a7298a.png'],
A. J. Cronin,"['Cronin, A. J.(Archibald Joseph),1896-1981.', 'Cronin, A. J.(Archibald Joseph),1896-1981.']","""['A song of sixpence', 'The Judas tree.']""","[1970.0, 1961.0]","['Glenfield F.A. Thorpe', 'London, ']","['eng', 'eng']","[nan, nan]","['Originally published (B64-15686), London: Heinemann, 1964', nan]",1961.0,1970.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTopIuokpWG4yoPzHWBQygNI7zZlakojPHtuyvK8zEBn9QgiLZFJVCnfWckuTE&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfyfc9-92iYZr-ly0jnrTB5HAcclRFSAYF6Kd-M7n-xhrT1XUP-DHHEFP2E2g&s']",
Aaron Copland,"['Copland, Aaron,1900-1990.']","""['Our new music. Leading composers in Europe and America.']""",[1941.0],"['New York & London,']",['eng'],[nan],['[With a bibliography.]'],1941.0,1941.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5Sx5jJ4MQD_irhzWIgdyYmK6tc57Mq9_LiilIRPSE2MFhnvp1_O7qF3jvqg&s'],['[1941]']
Abby Stein,"['Stein, Abby.']","""['Prologue to violence : child abuse, dissociation, and crime ']""",[2007.0],"['Mahwah, N.J. ; London : Analytic Press,']",['eng'],['Crime.'],['Includes bibliographical references (p. 131-142) and index.'],2007.0,2007.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYw7jtoVCc7acxQO51k4JT2M_qukIWHBPZfALBWqnjNvBihzq7iFEbcHJZiuo&s'],['2007.']
Adolphus Egerton Ryerson,"['Ryerson, Adolphus Egerton.']","""['The loyalists of America and their times: from 1620 to 1816.']""",[1880.0],"['Toronto, ']",['eng'],[nan],[nan],1880.0,1880.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoNvisKxyzyZwvLONO-gmC7XQHqeEVacKPyiScAPTUcIIHTcnpqXjA_DelXw&s'],['1880.']
Adrian Hastings,"['Hastings, Adrian.']","""['La construcción de las nacionalidades : etnicidad, religión y nacionalismo ']""",[2000.0],"['Madrid ; Cambridge : Cambridge University Press,']",['spa'],['Nationalism'],[nan],2000.0,2000.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnTXi4HsbAbStFegj6Db-hD6lQTGy-oRIUMMYZ2dDCrYjdFYQxeJzUqR7KEUE&s'],['c2000.']
Adrienne Cecile Rich,"['Rich, Adrienne Cecile.']","""['The diamond cutters, and other poems.']""",[1955.0],"['New York, ']",['eng'],[nan],[nan],1955.0,1955.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk8HvnA6JM7QmVdwYT3QV-CuYv5Y8UHrtsJzFZt0-Ad54wXgvBicWF44DU7w&s'],['[1955]']
Agatha Christie,"['Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.', 'Christie, Agatha,1890-1976.']","""['Sad cypress ', 'Curtain Poirot's last case', 'Murder on the Orient Express', 'The mystery of the blue train ', 'Five little pigs ', 'Destination unknown', 'The mystery of the blue train ', 'The mysterious Mr Quin ', 'Why didn't they ask Evans?', 'Lord Edgware dies', 'The abc murders.', 'After the funeral ', 'And then there were none', 'Sad cypress ', 'Towards zero', '4:50 from Paddington', 'Lord Edgware dies ']""","[1993.0, 1977.0, 1974.0, 1961.0, 1974.0, 1975.0, 1956.0, 1961.0, 1968.0, 1970.0, 1971.0, 1969.0, 1962.0, 1968.0, 1951.0, 1974.0, 1966.0]","['London : HarperCollins', '[London] Fontana', 'London Fontana', ""London : CollinsChildren'sBooks,"", 'London : Harper,', '[London] Fontana', '[London] : Fontana,', 'London : HarperCollins,', 'Pan', 'Glenfield F.A. Thorpe', 'HarperCollins,', 'London :  Collins, ', 'Leicester Ulverscroft', 'London :  Collins, ', '[London] : Fontana,', 'London Pan Books', 'London : HarperCollins,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'English fiction.', 'English fiction.', nan, 'Poisoning', 'English fiction.', nan, nan, nan, nan, nan, nan, nan, nan, nan, 'English fiction.', nan]","['First published: 1940.', 'Originally published: London : Collins, 1975', 'Originally published: London : Collins, 1934', 'Originally published: London : Collins, 1928.', 'First published in Great Britain by Collins 1943.', 'Originally published: London : Collins, 1954', nan, 'Originally published: London : Collins, 1930.', 'Originally published Collins 1934', 'Originally published, London: Collins, 1933', '""Agatha Christie signature ed.""', nan, nan, nan, nan, 'Originally published: London : Collins, 1957', 'TV tie-in.']",1951.0,1993.0,17,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf6IJe183hdjpkZ7fipKYkbjVGjnxswN4HYKa-xOpIUupN1O7o3sR13urElw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2qcxyydz0YLqJouevLC2vUglHY25wwpQDlQIC7hTorsygUHcPtEJ7vDhEdIU&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVsybCJWrw_hViXjDETfTVakRFXexqU2pgGgj7zJeczrtIsWwZn7lCsi8SKQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrSUBMI8qZMaWZso2z7CudQGG4LLi5-I_jz5RHmufEdbSLnhgjd7ZlGOuOiVs&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoXsygMCMeQg6lY5MBKNJypScIkPabfGWZMTnELL8BKPhzincgJ70MQz-wFVI&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPFRT0jNqjy8FaZCLsozhL3VQxAMQt2QKpdF6-EP6AudSix41hvuZH-ISziw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrSUBMI8qZMaWZso2z7CudQGG4LLi5-I_jz5RHmufEdbSLnhgjd7ZlGOuOiVs&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThZv8GEaCDiW2QlDs3STBjeQGRx3GeF4iPZE1cRwIeyEudTIGKb-7eGWzYDw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwmzI-N8wCO4Om7-dS10rcqNy8DcyfF7jfLKf7Fl0Y8eF90YWuCnwrnVWsfA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR25VD-JrSr7U0aGg2DkEQ2yTIdSJleyZ9Ge02pltR2zB5hTFvTloTt9l1tNQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDUO0jd37TauyqWZxSagGBNYEKWDcsBtv9AeXIllq62ZoX778xOEgkOY-Mcg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU0AUzJ3bdhfFTRRYfkClhMh4Mustyoo6W1-R2SB35gfJRyCucuiaYpAtKPTk&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3B8mBC4qfrrfRNpKD_f6YHzRkTAVBTc02LxWLKdfp2sY-bNYWx6aBov7Vrg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf6IJe183hdjpkZ7fipKYkbjVGjnxswN4HYKa-xOpIUupN1O7o3sR13urElw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS72It8dqSmxhlMptSyglwe6HOIR8XaETinvg3sdADoa0WQuCZeneNWjKgZ5g&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRorvSoDyXHeiUi9K7i_6cZBJLqD3OC5tfetpwEX8L-fibdO570kfPijOdYXQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjoS5bygKGHSYF2VYwIepCJ6Y1XvCG-1Vl0zW60sDvrxj5hdWOSwamst5OfQ&s']","['1993.', '1977', '1974', '1995, c1928.', '2007, c1942.', '1975', '1985, c1928', '1993, c1930.', '1968', '[1970]', '2007, c1936.', '1969.', '1986, c1939', '1968.', '1959, c1944', '1974', '1999, c1933.']"
Alan Bennett,"['Bennett, Alan,1934-', 'Bennett, Alan,1934-']","""['Habeas Corpus a play in two acts', 'The old country ']""","[1973.0, 1978.0]","['London Faber', 'London : Faber and Faber,']","['eng', 'eng']","['English drama.', 'English drama.']","['ISBN 0 571 10509 2 Pbk: £0.80', 'Three men, 3 women']",1973.0,1978.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREROCwDaayKGA4I6UjtSsx0VWJs18uprbJAfRMs_E8NkGuasfGWRbcKu1vNg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSauedJwTGLBCYqaZ8HcpAGxOXK3eRSal6_G2vs10ZlAQ8wXSXqcrqUjlo_8cQ&s']","['1973', '1978.']"
